Cobalto,,Cobre,
Long.de onda (nm),Abs,Long.de onda (nm),Abs
,,510.9820557,0.1094461679
,,509.9976501,0.1107249632
,,509.0130615,0.1099333316
,,507.990387,0.1097737774
,,507.0053711,0.1098195091
,,505.9821472,0.1108651832
,,504.9967346,0.1104752496
,,504.0111084,0.1123462766
,,502.9873352,0.1104606241
,,502.0012512,0.1104198024
,,501.0150146,0.1105269939
,,499.9906006,0.1115930825
,,499.0039063,0.1105300039
,,498.0170288,0.1124871895
,,496.9919128,0.1109859943
,,496.0046082,0.1114266366
,,495.0170288,0.1107007861
,,493.9914246,0.1125306189
,,493.003479,0.1117209941
,,492.0153503,0.1104774475
,,490.9890442,0.1104633659
,,490.0004883,0.1105556786
,,489.0117798,0.110951066
,,487.9848022,0.1113512963
,,486.995636,0.110048607
,,486.0062866,0.1096701324
,,485.0168152,0.1110761464
,,483.9889526,0.1102730557
,,482.9990845,0.1113728359
,,482.0089722,0.1110097915
,,481.0186157,0.1109971851
,,479.9899902,0.1115521193
,,478.9992981,0.1133533567
,,478.0083313,0.1126539409
,,477.0172424,0.1121215969
,,475.9877625,0.1132313162
,,474.9962463,0.1142167151
,,474.0045776,0.1152600423
,,473.0126648,0.1154259443
,,471.9823914,0.1157866567
,,470.9901428,0.1165616214
,,469.9975891,0.1188450232
,,469.0049744,0.1171550006
,,468.012085,0.1190532222
,,467.019043,0.1186436564
,,465.9876404,0.1213803664
,,464.9941711,0.1206514388
,,464.0005493,0.1222412512
,,463.0067139,0.1224661171
,,462.0127258,0.1222367585
,,461.0185242,0.1238235161
,,459.9858398,0.1243184358
,,458.991272,0.1238010749
,,457.9965515,0.1249274164
,,457.0015259,0.1243688911
,,456.0063782,0.1252464056
,,455.0110779,0.1272693723
,,454.0155334,0.1261759847
,,452.9815979,0.1261372566
,,451.9857178,0.1272717565
,,450.989563,0.1294001192
