;3 min;15 min;30 min;47 min;57 min;70 min;76 min;88 min;Final;Blanco
Long.de onda (nm); Abs; Abs;Abs;Abs;Abs;Abs;Abs;Abs; Abs;Abs
682.9915161;1.359443545;1.065952301;0.6132854223;0.4739790261;0.4442156553;0.4154172242;0.3990698755;0.3697228432;0.1544449925;1.58030808
682.0144043;1.352065682;1.076945901;0.6142960787;0.4757563472;0.4423333108;0.4157880843;0.3986574113;0.3691998422;0.1559340507;1.589878321
681.0006714;1.350574493;1.080077171;0.6151078939;0.4756526649;0.4433661997;0.4158520401;0.399232775;0.3712458909;0.1577697098;1.577612877
679.9866943;1.361228704;1.074835658;0.6149123907;0.4755856395;0.44595173;0.4181977808;0.3993972242;0.3721398711;0.1589992046;1.566635013
679.008667;1.367186069;1.082256794;0.6167775989;0.4770005047;0.4465190768;0.4192732573;0.4000075459;0.373637259;0.1612175405;1.553805947
677.9941406;1.355585694;1.077630401;0.6145098209;0.477563858;0.4442038536;0.420016259;0.3998599946;0.3733745515;0.162351504;1.56701684
677.0154419;1.379357219;1.081314683;0.614241302;0.4784097075;0.4483221769;0.4185278714;0.4002843797;0.3734598756;0.165559113;1.562401056
676.0001831;1.374587536;1.082382798;0.6163614392;0.4810590148;0.4492860138;0.4205563962;0.4023660421;0.3753911257;0.1686404198;1.578619123
674.9846191;1.363088131;1.08357048;0.618825078;0.48102355;0.4479338229;0.4224889278;0.4061994255;0.3765452504;0.171675548;1.583883524
674.0050659;1.364527464;1.083457947;0.6224585176;0.4815027416;0.4504922032;0.4222280681;0.4058590531;0.3772652149;0.1745617092;1.583591342
672.9888916;1.368636727;1.076421499;0.6193910241;0.4813158214;0.4480134249;0.4221210182;0.4046556354;0.377246052;0.1742190272;1.564198494
672.008728;1.378374934;1.088175297;0.6202622652;0.4809559882;0.4505133629;0.4228458107;0.404797703;0.3790348172;0.1776370108;1.587206364
670.9919434;1.378977418;1.08060956;0.6206840277;0.4821449518;0.4501435459;0.4244480729;0.4054872096;0.3781285286;0.1785336435;1.582397223
670.0111084;1.358899355;1.082063794;0.6228399873;0.4827098846;0.4512273073;0.4244219959;0.4063051045;0.3771394491;0.1807281375;1.567086577
668.9937134;1.371601939;1.076241136;0.6223024726;0.4829142392;0.4524532855;0.4248286188;0.4057687521;0.379519999;0.1820701659;1.585390568
668.0123901;1.372495532;1.08367908;0.6217407584;0.4873654544;0.4546573162;0.4262212217;0.4077040255;0.3789889514;0.18148081;1.564033151
666.9943237;1.368547678;1.07853663;0.624647975;0.4849133492;0.4541037083;0.4269210398;0.4076443017;0.3806217909;0.1854060888;1.559080601
666.0123291;1.376588106;1.082636118;0.6244519949;0.4860523939;0.4535316229;0.4260058701;0.4068396688;0.381300956;0.185899362;1.557247281
664.9936523;1.360134959;1.084579945;0.6264951825;0.4860192239;0.4568950236;0.4290949106;0.4089785814;0.3816142678;0.1877056956;1.563306093
664.0111084;1.370266676;1.087178707;0.6264238358;0.4880360961;0.456371963;0.425674051;0.4094064534;0.381788075;0.1901790649;1.563854694
662.9918213;1.365752816;1.082448006;0.6270638108;0.4884464145;0.4572241008;0.4290891886;0.410002619;0.3834390044;0.1926012188;1.565756321
662.008606;1.361183524;1.086611748;0.6281685233;0.4877231419;0.4577597976;0.428799957;0.4108309746;0.3819563389;0.1947411746;1.573509336
660.9887695;1.37208879;1.08319211;0.6284900308;0.4898005426;0.4578441083;0.431399852;0.413512677;0.3846998215;0.1975788027;1.556999207
660.0050049;1.37869513;1.089430332;0.6293439269;0.4903021455;0.458319366;0.4305268526;0.4118492305;0.3848980069;0.2002989203;1.587867022
658.9844971;1.37336278;1.089073658;0.6286827922;0.4903813303;0.4587679505;0.4308209121;0.4122986495;0.3836373091;0.2033917308;1.563446879
658.0001221;1.382407188;1.086424232;0.6309844851;0.4904795289;0.4602501988;0.431488961;0.4147516787;0.3865144551;0.2055706531;1.564968467
