muestra1; ; 3min; ; 
Long.de onda (nm); Abs; Long.de onda (nm); Abs; 
466.9916687; 0.3016873896; 466.9916687; 1.355387688; 
465.9984436; 0.2973008752; 465.9984436; 1.354539871; 
465.0049744; 0.2935350835; 465.0049744; 1.355604053; 
464.0113831; 0.2899263799; 464.0113831; 1.358649015; 
463.0175781; 0.2872375548; 463.0175781; 1.358754754; 
461.9853821; 0.284532696; 461.9853821; 1.359549642; 
460.9911804; 0.2825651467; 460.9911804; 1.360119581; 
459.9967957; 0.2812049091; 459.9967957; 1.361986399; 
459.0022278; 0.2801516056; 459.0022278; 1.365004182; 
458.0074463; 0.2771119475; 458.0074463; 1.362948537; 
457.0125427; 0.2737762928; 457.0125427; 1.364279151; 
456.0174255; 0.2712896466; 456.0174255; 1.370073318; 
454.9838257; 0.2694741189; 454.9838257; 1.365481019; 
453.9883423; 0.2678766251; 453.9883423; 1.370413184; 
452.9925842; 0.266400069; 452.9925842; 1.369600415; 
451.9967651; 0.265596807; 451.9967651; 1.370089412; 
451.0007019; 0.2654712796; 451.0007019; 1.372602224; 
450.0044556; 0.2655637264; 450.0044556; 1.372436762; 
449.0079956; 0.2655393183; 449.0079956; 1.373706102; 
448.0114441; 0.2654414773; 448.0114441; 1.373127222; 
447.0146484; 0.2661177814; 447.0146484; 1.371753693; 
446.0176392; 0.2670264244; 446.0176392; 1.375815272; 
444.9820862; 0.2679907382; 444.9820862; 1.373868704; 
443.9847717; 0.2698194981; 443.9847717; 1.379167199; 
442.9872742; 0.2712553144; 442.9872742; 1.377158165; 
441.989502; 0.2733546495; 441.989502; 1.379309773; 
440.9916382; 0.275826782; 440.9916382; 1.37848711; 
439.9936218; 0.2783215642; 439.9936218; 1.377439737; 
438.9953613; 0.2812582254; 438.9953613; 1.379432797; 
437.9969177; 0.2842049003; 437.9969177; 1.381222725; 
436.9983215; 0.2873488665; 436.9983215; 1.381766319; 
435.9995422; 0.2915960848; 435.9995422; 1.381801486; 
435.0005493; 0.2956081927; 435.0005493; 1.380264878; 
434.0014343; 0.299580276; 434.0014343; 1.379009724; 
433.0021667; 0.304446876; 433.0021667; 1.380102634; 
432.0026855; 0.3093543053; 432.0026855; 1.38199687; 
431.0029907; 0.3154512942; 431.0029907; 1.380487084; 
430.0031433; 0.3206344545; 430.0031433; 1.380243778; 
429.0031433; 0.3272570372; 429.0031433; 1.381590128; 
428.0029297; 0.3330964446; 428.0029297; 1.381524444; 
427.0025635; 0.3401984572; 427.0025635; 1.37708056; 
426.0020142; 0.3467729688; 426.0020142; 1.379814386; 
425.0013428; 0.3542037606; 425.0013428; 1.378411531; 
424.0004272; 0.3612243235; 424.0004272; 1.374832153; 
422.9993591; 0.3688652515; 422.9993591; 1.376469612; 
421.9981384; 0.3771606684; 421.9981384; 1.376192927; 
420.9967346; 0.386292994; 420.9967346; 1.373940825; 
419.9951477; 0.3946904242; 419.9951477; 1.37337184; 
418.9934082; 0.4027025104; 418.9934082; 1.371319771; 
417.9915161; 0.4120747745; 417.9915161; 1.371163964; 
416.9893799; 0.4206699133; 416.9893799; 1.370363355; 
